University,Department,Year,Enrollment,Graduation Rate (%),Dropout Rate (%),Funding Allocation (ZAR),Average GPA
Wits University,Engineering,2015,233,78.28,7.78,13984889,2.64
University of Cape Town,Engineering,2024,1835,79.1,24.31,13008829,2.94
University of Pretoria,Humanities,2017,2456,73.27,19.13,704403,3.92
Rhodes University,Education,2024,370,92.92,29.61,13853488,2.34
University of Johannesburg,Education,2023,2970,87.25,16.64,1692397,2.28
University of KwaZulu-Natal,Health Science,2017,470,89.67,18.33,18508762,3.24
Rhodes University,Health Science,2019,674,90.84,16.18,14797419,2.37
Stellenbosch University,Engineering,2021,894,72.74,12.31,8002966,3.36
Rhodes University,Law,2015,2685,58.36,26.12,16420276,2.7
Rhodes University,Health Science,2015,2074,54.39,8.95,16229390,3.52
University of Johannesburg,Education,2023,2406,88.14,8.78,7296034,2.28
University of Johannesburg,Humanities,2017,2797,58.09,13.93,6227007,2.31
University of KwaZulu-Natal,Health Science,2021,702,79.05,18.95,17227467,2.78
Stellenbosch University,Law,2021,843,83.03,16.56,12285580,3.0
University of KwaZulu-Natal,Education,2019,1583,55.24,20.68,18154307,3.12
Wits University,Health Science,2020,2245,82.99,18.53,8820105,3.42
University of KwaZulu-Natal,Engineering,2015,1482,69.94,5.33,8107156,3.13
University of Pretoria,Education,2021,1826,92.07,21.42,18993823,3.29
University of Johannesburg,Engineering,2022,727,82.73,25.87,1343508,3.29
University of Johannesburg,Health Science,2015,779,82.8,12.02,14417105,2.99
University of Pretoria,Health Science,2024,2449,64.58,25.33,13695338,3.67
University of Johannesburg,Health Science,2022,2108,93.3,18.38,16824632,3.68
University of Pretoria,Health Science,2016,535,81.78,18.9,11294848,2.74
Rhodes University,Education,2019,2231,66.31,8.48,15018136,2.16
Rhodes University,Health Science,2019,250,59.75,28.87,10560334,3.96
University of Pretoria,Humanities,2019,892,80.44,13.11,3190142,2.75
Stellenbosch University,Law,2015,838,58.64,7.04,17294036,3.47
University of KwaZulu-Natal,Humanities,2023,226,59.19,18.57,7188749,2.58
University of KwaZulu-Natal,Education,2016,2848,57.8,20.39,13457091,2.28
University of Johannesburg,Law,2022,2868,90.89,10.78,2766591,3.71
University of Johannesburg,Health Science,2019,2011,59.92,7.63,3993658,3.08
Stellenbosch University,Health Science,2024,938,75.67,5.05,13877043,2.14
University of KwaZulu-Natal,Health Science,2024,1850,51.18,21.5,14897176,2.24
Wits University,Education,2023,924,69.27,13.32,7843145,3.34
University of Cape Town,Education,2018,1554,69.03,5.74,3238476,3.88
Stellenbosch University,Engineering,2022,940,83.51,16.18,2810233,3.5
Rhodes University,Humanities,2021,2900,66.84,24.31,743555,3.93
University of KwaZulu-Natal,Education,2018,907,87.47,19.67,17167417,2.66
Wits University,Law,2022,1605,78.7,22.4,5280005,2.65
University of Pretoria,Law,2018,969,91.24,27.21,2903542,2.9
Stellenbosch University,Humanities,2017,956,79.47,20.25,15482631,2.74
Stellenbosch University,Law,2018,1994,65.17,11.64,19864042,3.96
University of Cape Town,Law,2019,1472,80.23,5.51,13118893,2.02
University of Johannesburg,Law,2024,995,90.12,7.93,17947074,2.6
Stellenbosch University,Education,2020,2925,85.97,11.15,829030,2.34
Rhodes University,Engineering,2022,1911,82.64,9.4,4399073,3.07
University of Johannesburg,Humanities,2016,257,53.82,19.27,9609120,3.78
Stellenbosch University,Law,2022,792,83.44,29.51,18468752,2.52
Wits University,Humanities,2019,1782,86.53,12.53,4816333,2.24
Stellenbosch University,Engineering,2018,439,75.01,9.0,6380232,2.66
University of Cape Town,Education,2024,2880,55.0,21.58,19368374,3.95
Stellenbosch University,Health Science,2022,201,71.96,21.38,8551587,2.34
University of Johannesburg,Health Science,2021,2347,74.01,27.43,8272623,2.34
University of Johannesburg,Engineering,2019,135,94.4,5.07,19048792,2.18
University of Johannesburg,Engineering,2022,1273,78.5,18.66,4659549,3.59
University of Johannesburg,Law,2019,379,81.84,8.21,12542228,2.64
University of Pretoria,Education,2020,2236,61.03,5.29,5001874,3.76
University of KwaZulu-Natal,Health Science,2021,1506,89.95,20.72,19397328,2.35
University of KwaZulu-Natal,Engineering,2023,2907,51.27,27.98,16580142,3.73
University of Johannesburg,Engineering,2020,2483,73.43,20.64,4815003,2.21
Wits University,Law,2017,413,67.53,23.3,9081909,2.3
University of Cape Town,Law,2018,804,77.89,7.36,13128920,2.47
University of KwaZulu-Natal,Health Science,2024,1495,62.24,7.6,14514742,3.44
University of KwaZulu-Natal,Health Science,2021,1997,83.39,20.91,8846291,2.21
University of KwaZulu-Natal,Law,2018,280,91.02,11.63,17645768,3.54
University of KwaZulu-Natal,Humanities,2020,2451,76.68,7.05,11306182,2.79
Wits University,Engineering,2015,999,71.64,18.55,7522072,3.37
Stellenbosch University,Education,2023,1776,64.81,27.87,15145523,2.32
Wits University,Law,2016,1058,56.18,24.18,7898999,3.18
University of KwaZulu-Natal,Education,2020,849,91.09,19.85,930674,2.76
University of Pretoria,Education,2019,730,91.8,23.71,17689273,2.07
University of Pretoria,Health Science,2019,1663,69.39,14.38,14959964,3.06
Wits University,Engineering,2020,2715,76.73,16.17,19421473,3.85
University of Johannesburg,Health Science,2021,2923,75.71,23.11,19176970,3.08
Stellenbosch University,Health Science,2018,808,78.79,11.65,1425143,2.89
University of KwaZulu-Natal,Health Science,2023,569,81.39,6.6,9719271,2.67
University of KwaZulu-Natal,Law,2022,2959,93.9,23.14,18396189,3.46
University of Cape Town,Education,2020,2127,51.66,7.32,8350794,2.33
University of Johannesburg,Law,2016,1049,63.14,26.26,17884119,2.33
University of KwaZulu-Natal,Humanities,2020,1983,74.24,28.7,16689125,3.78
University of Pretoria,Humanities,2024,562,51.85,6.74,6525415,2.93
Stellenbosch University,Health Science,2017,1722,85.07,16.46,1857869,2.51
Wits University,Law,2019,1992,66.29,19.59,3399953,2.07
University of KwaZulu-Natal,Health Science,2018,907,83.3,25.0,18600882,3.03
University of Pretoria,Humanities,2017,2922,93.86,10.92,11554478,3.01
University of Cape Town,Health Science,2018,478,87.35,25.61,1367345,2.92
University of Pretoria,Law,2020,2258,69.23,19.66,14622708,3.96
Wits University,Humanities,2019,2513,55.79,12.98,2238639,3.06
Wits University,Health Science,2017,893,92.83,10.09,15792945,2.0
University of Johannesburg,Engineering,2021,1119,77.52,12.43,17183972,3.26
University of KwaZulu-Natal,Law,2021,496,90.73,8.32,16358436,2.95
University of Pretoria,Law,2015,2760,75.95,13.74,10765779,3.75
University of KwaZulu-Natal,Law,2023,2863,53.4,17.66,19182489,3.71
University of Johannesburg,Health Science,2015,2801,67.41,29.29,18457625,2.22
Wits University,Humanities,2021,2752,69.15,11.9,8732654,3.34
University of Cape Town,Health Science,2019,1685,68.51,29.82,7671011,3.83
University of Cape Town,Humanities,2019,805,75.94,7.41,19069447,2.31
University of Cape Town,Health Science,2015,1189,89.46,17.03,16842426,3.79
University of Johannesburg,Health Science,2016,134,86.83,7.49,9170533,3.71
Wits University,Humanities,2024,1458,67.11,11.08,2960242,2.63
Stellenbosch University,Health Science,2021,729,77.48,17.57,14738144,2.08
University of Johannesburg,Health Science,2017,1877,82.74,22.05,2787924,2.57
University of Pretoria,Health Science,2021,1678,56.88,29.52,10734086,2.66
Wits University,Law,2018,2972,78.08,28.28,12673522,2.33
Rhodes University,Law,2016,1173,91.01,15.13,10142129,3.77
University of KwaZulu-Natal,Health Science,2015,2960,66.2,19.64,12220989,2.96
Rhodes University,Humanities,2024,632,80.95,13.16,11045229,2.82
University of KwaZulu-Natal,Humanities,2019,1182,59.97,10.1,18099359,3.55
Stellenbosch University,Humanities,2017,209,85.67,18.45,7289077,3.98
Rhodes University,Humanities,2017,2229,86.41,26.57,7315905,2.2
University of Johannesburg,Education,2021,2616,53.35,21.64,7820768,3.11
University of Pretoria,Engineering,2018,1339,63.85,6.43,14550795,2.97
Stellenbosch University,Humanities,2018,1545,77.68,10.45,607201,2.26
Rhodes University,Law,2018,112,50.57,5.43,7676210,2.6
Wits University,Humanities,2016,2894,56.71,11.23,15467444,3.18
University of KwaZulu-Natal,Engineering,2017,2887,66.53,20.41,5833889,3.63
University of KwaZulu-Natal,Law,2020,1212,72.58,17.79,4495077,3.96
University of Cape Town,Humanities,2024,721,93.43,25.3,6795017,3.42
University of Johannesburg,Engineering,2018,376,56.29,29.41,3527366,3.47
University of KwaZulu-Natal,Engineering,2024,1045,70.57,9.41,16123229,3.35
University of Cape Town,Education,2024,2908,57.5,15.96,8969655,3.51
University of KwaZulu-Natal,Education,2024,237,71.42,23.88,2824201,3.92
Rhodes University,Health Science,2017,1463,69.1,18.58,15980300,3.66
University of Cape Town,Engineering,2021,2881,82.45,7.58,6024947,3.17
Rhodes University,Education,2018,1742,60.56,21.24,1372914,3.04
University of Johannesburg,Engineering,2017,2531,60.16,6.91,16059412,2.96
University of Pretoria,Education,2018,1671,53.74,19.55,2376161,2.53
Wits University,Health Science,2019,1368,78.9,21.06,12105138,2.59
University of Pretoria,Law,2017,2514,56.96,21.46,8903462,3.4
Rhodes University,Education,2024,2971,52.29,24.32,5060989,2.0
University of KwaZulu-Natal,Law,2024,2008,56.16,26.58,16079280,2.26
University of KwaZulu-Natal,Law,2017,1869,91.66,24.63,18055748,3.27
Wits University,Education,2019,2868,70.74,29.63,1794131,2.94
University of Johannesburg,Humanities,2019,1879,75.28,22.21,13230102,3.58
University of Cape Town,Education,2016,2400,91.53,11.32,17887669,3.31
Wits University,Humanities,2017,2600,82.32,22.38,10440015,2.54
Stellenbosch University,Engineering,2017,2057,60.64,21.16,7443212,3.66
University of Cape Town,Engineering,2021,2003,92.53,24.97,9407558,2.16
Stellenbosch University,Education,2022,509,72.48,7.81,2244686,3.23
University of Pretoria,Law,2024,2185,60.72,22.05,2848601,2.64
Stellenbosch University,Health Science,2018,1033,80.5,12.64,14431197,2.5
Stellenbosch University,Education,2017,413,54.93,29.28,1144511,3.72
University of Pretoria,Law,2022,1548,63.04,13.42,12531087,3.1
Wits University,Education,2015,2249,80.28,12.59,9957315,3.39
University of Johannesburg,Health Science,2016,2375,86.96,29.12,2378037,3.87
University of Johannesburg,Education,2016,2073,59.65,20.71,11328696,2.48
University of Cape Town,Humanities,2022,1558,58.69,6.84,5161135,3.82
University of Cape Town,Humanities,2023,1493,81.29,17.89,4063404,2.73
University of Pretoria,Humanities,2019,2766,78.74,29.52,15917753,3.59
University of KwaZulu-Natal,Law,2017,2224,72.47,16.65,15860636,2.65
Stellenbosch University,Law,2023,1134,59.3,13.08,1407934,3.56
University of KwaZulu-Natal,Health Science,2021,2281,54.6,17.2,15330703,2.02
Rhodes University,Humanities,2022,1933,77.95,13.59,8588449,3.04
University of Pretoria,Health Science,2018,435,54.35,26.27,12236906,2.69
Stellenbosch University,Law,2017,1991,60.96,22.84,11935860,3.2
University of Johannesburg,Education,2017,883,74.32,24.72,7106722,2.23
University of Johannesburg,Health Science,2015,1469,69.22,12.03,6025152,2.07
Stellenbosch University,Humanities,2022,478,55.77,5.63,18359257,3.97
University of KwaZulu-Natal,Law,2020,1864,55.03,7.02,3809367,2.05
Stellenbosch University,Health Science,2020,1363,69.03,23.74,796322,3.6
University of Cape Town,Education,2022,465,69.33,20.51,14725618,3.93
Stellenbosch University,Engineering,2021,2565,82.3,5.94,4952235,2.26
University of Johannesburg,Education,2023,602,69.3,28.61,7646692,2.95
Rhodes University,Education,2019,210,56.59,27.77,4978499,2.92
Stellenbosch University,Engineering,2019,2087,52.58,11.03,16123765,2.82
University of Cape Town,Humanities,2023,270,55.67,16.08,5667980,3.85
Stellenbosch University,Engineering,2017,2180,56.38,16.84,1798388,3.32
Wits University,Engineering,2023,649,89.77,18.64,8665085,2.34
University of KwaZulu-Natal,Humanities,2022,1804,65.51,15.4,15576556,2.56
University of Cape Town,Health Science,2024,1945,84.59,24.94,19487041,3.89
University of Johannesburg,Engineering,2015,2390,78.64,25.86,6520263,3.13
University of Pretoria,Education,2019,276,89.58,18.83,5792075,2.92
Wits University,Education,2015,1192,72.2,22.73,1169537,3.05
University of Johannesburg,Health Science,2018,2298,74.24,14.76,6108841,3.2
University of Johannesburg,Humanities,2017,1748,81.28,17.69,18745828,3.4
University of KwaZulu-Natal,Humanities,2019,701,83.12,8.32,6710381,3.1
University of Pretoria,Law,2016,1539,87.53,9.18,14260623,2.77
Stellenbosch University,Humanities,2017,957,58.58,29.74,18529888,3.66
Wits University,Humanities,2021,1659,94.75,6.57,4834835,2.52
University of KwaZulu-Natal,Education,2022,2743,80.43,9.28,9856068,3.1
Rhodes University,Education,2015,1254,64.71,27.78,9961460,2.11
Rhodes University,Engineering,2015,1494,62.27,29.88,6839517,2.08
Stellenbosch University,Engineering,2016,528,72.9,29.03,9676593,2.68
University of KwaZulu-Natal,Education,2023,2755,67.38,10.3,8605320,2.82
University of Johannesburg,Health Science,2024,936,86.66,8.62,2441853,2.18
University of KwaZulu-Natal,Health Science,2017,1895,74.96,16.62,6938397,2.05
University of KwaZulu-Natal,Engineering,2018,1389,81.3,22.59,8563713,2.42
University of Cape Town,Engineering,2018,2895,88.79,18.49,11272237,3.39
Wits University,Health Science,2020,2443,74.38,16.84,18967720,2.31
University of KwaZulu-Natal,Health Science,2016,1142,81.57,21.28,19843039,2.92
Wits University,Law,2020,809,75.55,27.64,13713787,2.94
University of Johannesburg,Education,2019,1970,62.85,14.78,8521130,3.57
Rhodes University,Engineering,2021,1291,90.77,25.11,8915233,2.01
University of Cape Town,Education,2024,132,65.78,15.82,16731095,2.2
Stellenbosch University,Education,2017,1120,84.15,23.62,4119806,3.84
Wits University,Education,2015,721,78.32,12.91,10538586,2.96
University of Cape Town,Humanities,2024,2617,94.32,26.15,4851503,3.16
Rhodes University,Health Science,2021,988,78.49,13.79,11522143,2.76
University of Cape Town,Engineering,2018,729,71.84,6.15,11957731,3.77
Wits University,Law,2017,1025,67.26,25.99,6844658,3.37
Rhodes University,Engineering,2020,416,89.76,23.78,5727169,2.85
Rhodes University,Education,2018,2833,62.98,9.41,18242585,2.87
Stellenbosch University,Health Science,2021,603,69.55,26.0,12738604,2.66
Stellenbosch University,Education,2015,913,92.26,21.2,6503542,2.5
Rhodes University,Humanities,2016,1574,54.16,28.19,3493255,2.21
Stellenbosch University,Engineering,2022,775,72.37,13.86,3510537,2.97
University of Johannesburg,Engineering,2024,993,60.19,23.89,10031810,2.61
University of KwaZulu-Natal,Education,2020,347,85.64,27.18,4038936,3.73
University of KwaZulu-Natal,Humanities,2017,1635,88.29,29.36,4150782,2.59
University of Cape Town,Health Science,2020,1181,55.47,27.29,6241099,3.86
University of Pretoria,Education,2023,1488,53.24,19.4,8544814,3.05
Wits University,Health Science,2024,2537,68.27,26.43,14374395,3.8
University of Cape Town,Education,2024,309,72.32,27.71,768222,3.65
Stellenbosch University,Humanities,2021,887,58.21,10.8,19979656,3.54
Stellenbosch University,Education,2016,1581,69.57,23.46,17934623,3.94
University of Cape Town,Education,2015,114,64.95,12.82,12030043,3.7
Rhodes University,Education,2021,856,71.16,19.52,16147335,3.56
University of KwaZulu-Natal,Education,2016,1554,68.06,16.6,4778658,2.32
University of KwaZulu-Natal,Engineering,2016,1537,56.46,25.51,11587835,2.44
University of Pretoria,Education,2022,2273,78.09,27.03,4262445,2.65
Stellenbosch University,Health Science,2024,1166,85.92,17.94,8400914,2.69
University of Johannesburg,Health Science,2023,2912,57.1,13.28,11874299,2.97
Stellenbosch University,Health Science,2015,2833,92.56,24.49,19870795,2.76
Stellenbosch University,Humanities,2017,1924,70.21,10.01,15969578,2.9
Rhodes University,Law,2017,682,93.84,14.91,5780766,2.22
University of Cape Town,Law,2019,1304,77.65,10.73,8839986,2.57
Wits University,Humanities,2022,1614,86.48,24.15,3284782,3.54
Stellenbosch University,Law,2016,2854,51.19,8.78,9162307,2.35
Rhodes University,Engineering,2021,2182,79.8,17.16,18727589,3.39
University of Cape Town,Engineering,2023,2232,93.45,20.76,3674685,3.95
University of Pretoria,Law,2023,2064,77.63,29.59,8850065,2.76
University of Cape Town,Education,2019,2352,52.39,17.14,13756076,4.0
Stellenbosch University,Health Science,2018,1824,74.34,8.86,3168987,2.76
University of Cape Town,Engineering,2019,1354,54.76,27.99,8688016,2.32
University of Johannesburg,Education,2017,2047,88.57,5.88,12404522,2.11
University of Pretoria,Education,2018,2555,65.79,15.86,15735965,3.75
University of KwaZulu-Natal,Education,2020,2757,88.11,9.55,14052215,2.7
University of KwaZulu-Natal,Humanities,2021,748,56.07,6.13,12812664,2.76
Rhodes University,Humanities,2020,2214,58.98,13.51,18767939,2.75
Wits University,Law,2016,2896,72.13,18.69,15172133,2.62
University of KwaZulu-Natal,Education,2017,2063,75.67,17.86,4489974,2.13
University of KwaZulu-Natal,Education,2024,2329,55.89,6.59,15292481,2.63
Wits University,Engineering,2022,416,57.01,14.04,6127276,3.39
Rhodes University,Education,2023,2254,87.43,23.63,8860984,2.8
Wits University,Education,2015,2850,93.66,7.08,18765675,2.72
University of Cape Town,Engineering,2017,701,75.16,15.95,16333142,3.76
Rhodes University,Health Science,2016,289,83.03,10.5,6226316,2.45
University of KwaZulu-Natal,Law,2024,2014,57.72,19.82,11030832,2.59
Wits University,Education,2017,423,55.25,23.07,10757997,3.72
Stellenbosch University,Health Science,2019,2468,85.93,5.16,12002767,2.22
University of Johannesburg,Engineering,2021,110,73.32,10.76,13070820,3.15
Wits University,Health Science,2020,281,75.7,29.94,11205820,2.94
